n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44,n45,n343,n344,n345,n346,n347,n348,n349,n350,n351,n352,n353,n354,n355,n356,n357,n358,n359,n360,n361,n362,n363,n364,n365,n366,n367,n368,n369,n370,n371,n372,n373,n374,n375,n376,n377,n378,n379,n380,n381,n382,n383,n384,n385,n386,n387,n388,n389,1
119.94965,119.9504,119.95039,119.94946,119.95262,119.94994,119.95012,119.95304,119.94951,119.950554,119.953224,119.95232,119.953354,119.95229,119.95216,119.9529,119.95335,119.954994,119.95119,119.95501,119.953156,119.950935,119.95494,119.957634,119.95197,119.954865,119.957504,119.95543,119.95287,119.95104,119.956215,119.95354,119.95477,119.9651,119.95483,119.9527,119.976166,119.95556,119.976166,119.961876,119.9527,119.965675,119.97843,119.995575,119.9903,119.99774,119.95092,119.95273,119.96422,119.94966,119.94966,119.94968,119.94969,119.94974,119.950455,119.95039,119.950584,119.95249,119.952354,119.95057,119.95014,119.95031,119.95331,119.954,119.95074,119.950874,119.95365,119.95413,119.953766,119.954216,119.95244,119.95363,119.95409,119.95104,119.956535,119.954094,119.95129,119.95183,119.952354,119.954865,119.95626,119.95461,119.960884,119.9512,119.95159,119.95212,119.95819,119.9646,119.95805,119.993706,119.99194,119.97893,120.0
119.95957,119.96025,119.96025,119.962204,119.96358,119.96237,119.95984,119.96389,119.96225,119.960396,119.96403,119.96328,119.96403,119.963264,119.96215,119.963455,119.96386,119.965126,119.96099,119.965225,119.96353,119.96037,119.965225,119.966736,119.962234,119.96521,119.96706,119.96564,119.96239,119.96038,119.96615,119.962875,119.96495,119.9724,119.96495,119.96209,119.98083,119.96546,119.98083,119.97018,119.962074,119.97303,119.982704,119.99628,119.99187,119.99809,119.96076,119.96235,119.97161,119.95957,119.95958,119.95959,119.95961,119.959656,119.96033,119.96029,119.96047,119.96338,119.96331,119.9626,119.959885,119.96,119.964066,119.96459,119.960556,119.960686,119.96429,119.96466,119.964355,119.964714,119.96222,119.96398,119.96424,119.960884,119.966354,119.96432,119.96068,119.96128,119.96182,119.965195,119.96547,119.96396,119.969604,119.96058,119.960945,119.9615,119.96664,119.97196,119.96745,119.99468,119.99319,119.982834,120.0
119.96303,119.96479,119.964806,119.966354,119.9671,119.96644,119.96369,119.96738,119.9664,119.96479,119.96746,119.96701,119.96746,119.96701,119.966286,119.967224,119.96729,119.96864,119.96535,119.968666,119.96687,119.96438,119.96863,119.97025,119.96536,119.96858,119.97038,119.96907,119.96638,119.964455,119.9695,119.96676,119.968414,119.97545,119.96845,119.96603,119.982994,119.96908,119.982994,119.97362,119.96603,119.97614,119.9846,119.99671,119.992744,119.99832,119.96521,119.96638,119.97481,119.96303,119.96303,119.96304,119.96304,119.963104,119.96479,119.96487,119.96502,119.96703,119.96701,119.96657,119.96374,119.96389,119.96767,119.96815,119.96495,119.965065,119.96768,119.96801,119.96769,119.96803,119.966324,119.96746,119.96778,119.96527,119.96973,119.967735,119.96462,119.965195,119.96576,119.968575,119.96912,119.967766,119.97283,119.96457,119.964836,119.965416,119.96988,119.97511,119.970695,119.99528,119.99394,119.98504,120.0
119.965294,119.96612,119.96611,119.96581,119.96773,119.96607,119.96555,119.96814,119.965866,119.96615,119.96828,119.967514,119.96824,119.967514,119.96744,119.96797,119.96781,119.96945,119.96662,119.969475,119.96738,119.96621,119.96947,119.971146,119.966034,119.969345,119.97113,119.96955,119.967766,119.966286,119.97032,119.96823,119.96859,119.976074,119.96854,119.967674,119.98358,119.968796,119.98358,119.97324,119.96765,119.97591,119.984566,119.99685,119.993004,119.998405,119.96644,119.96771,119.97552,119.965294,119.9653,119.9653,119.96532,119.96533,119.966125,119.96612,119.966255,119.96754,119.967514,119.96651,119.965576,119.96581,119.968346,119.968834,119.96629,119.9664,119.968544,119.968925,119.96849,119.96882,119.96758,119.96795,119.968185,119.96653,119.9705,119.96801,119.96646,119.96692,119.9673,119.96939,119.97014,119.96895,119.97302,119.96646,119.9668,119.96723,119.971245,119.97575,119.97055,119.99548,119.99419,119.985466,120.0
119.95033,119.95186,119.951866,119.951584,119.9544,119.9519,119.95074,119.95499,119.95164,119.95186,119.95515,119.95397,119.955154,119.953964,119.953705,119.95457,119.95501,119.956696,119.952545,119.95674,119.95478,119.95178,119.956696,119.95915,119.953476,119.956635,119.95905,119.95748,119.9542,119.95191,119.957825,119.95479,119.95648,119.966255,119.95649,119.95375,119.97676,119.95713,119.97676,119.96424,119.95373,119.967354,119.97908,119.99557,119.99029,119.99774,119.95231,119.95412,119.96555,119.95034,119.95034,119.95036,119.95038,119.9504,119.95186,119.95191,119.95206,119.95406,119.954,119.95243,119.95074,119.95093,119.95547,119.95602,119.952065,119.95221,119.95549,119.95598,119.95546,119.95591,119.953896,119.95523,119.95568,119.95243,119.95817,119.95573,119.952194,119.95295,119.9536,119.95657,119.95771,119.95601,119.96266,119.95207,119.9525,119.953094,119.95953,119.96587,119.959946,119.99365,119.991875,119.979614,120.0
119.965935,119.96686,119.966866,119.96663,119.96835,119.96696,119.96634,119.9685,119.9667,119.96688,119.968605,119.968216,119.96867,119.9682,119.96794,119.96852,119.96867,119.96972,119.967285,119.96973,119.96856,119.96672,119.969666,119.971405,119.967896,119.96956,119.97132,119.96988,119.96818,119.9668,119.97045,119.96849,119.96945,119.97633,119.96955,119.96777,119.983665,119.97011,119.983665,119.974434,119.96776,119.97663,119.98499,119.99691,119.99315,119.99841,119.967125,119.96815,119.97576,119.965935,119.96594,119.96595,119.96597,119.9661,119.966866,119.96688,119.96697,119.96828,119.96823,119.96729,119.966324,119.96636,119.96873,119.96914,119.966995,119.96709,119.968864,119.969154,119.968895,119.96914,119.96803,119.96877,119.96896,119.96721,119.97071,119.96909,119.96693,119.967384,119.96781,119.96956,119.97045,119.96931,119.97341,119.96691,119.96705,119.96738,119.9715,119.97601,119.972015,119.995575,119.99432,119.985664,120.0
119.970566,119.97107,119.97107,119.97231,119.97426,119.972534,119.970695,119.97467,119.97237,119.97116,119.97477,119.97378,119.97481,119.97372,119.97275,119.97388,119.974785,119.9753,119.97166,119.97545,119.97471,119.97108,119.97546,119.97642,119.97404,119.97549,119.976776,119.97593,119.97283,119.971085,119.976135,119.97319,119.97565,119.98065,119.9757,119.972565,119.98664,119.97618,119.98664,119.979744,119.972534,119.98139,119.987976,119.997444,119.9944,119.998695,119.971466,119.97283,119.9801,119.970566,119.97057,119.97058,119.970604,119.97063,119.97111,119.97109,119.97125,119.974,119.97385,119.97287,119.97071,119.970825,119.97484,119.9751,119.9713,119.971405,119.97489,119.97512,119.97495,119.97516,119.97278,119.974945,119.975235,119.97156,119.97628,119.97525,119.97137,119.97188,119.97232,119.97543,119.9754,119.974205,119.9789,119.97124,119.97157,119.972084,119.97611,119.980354,119.97778,119.99634,119.99529,119.988396,120.0
119.95941,119.960526,119.960526,119.96255,119.9636,119.96268,119.95982,119.96424,119.96259,119.96063,119.96449,119.96331,119.96462,119.96332,119.962494,119.96364,119.96462,119.96543,119.961365,119.965546,119.96457,119.96044,119.965546,119.96713,119.964005,119.96559,119.96734,119.96617,119.962685,119.960464,119.9664,119.96309,119.96553,119.97282,119.965546,119.96218,119.98133,119.96593,119.98133,119.97062,119.962166,119.97342,119.98307,119.9965,119.99228,119.99821,119.96107,119.96268,119.97218,119.95942,119.95942,119.959435,119.95945,119.95954,119.96058,119.96055,119.96076,119.96331,119.9633,119.96284,119.95982,119.959915,119.964424,119.96495,119.96088,119.96107,119.96475,119.96509,119.96485,119.96515,119.96258,119.964745,119.96497,119.96123,119.96665,119.9651,119.96085,119.961555,119.96212,119.96552,119.96586,119.964355,119.96997,119.960625,119.961044,119.961624,119.96689,119.97247,119.96789,119.994995,119.993576,119.98378,120.0
119.97181,119.97237,119.97237,119.96989,119.97308,119.9703,119.97214,119.97362,119.969925,119.972435,119.97382,119.97275,119.97387,119.97274,119.97321,119.973404,119.97386,119.97469,119.97277,119.97472,119.97384,119.9727,119.97469,119.97623,119.97342,119.97469,119.976135,119.97517,119.97375,119.97277,119.97546,119.97417,119.97469,119.98036,119.97471,119.97382,119.98647,119.97506,119.98647,119.9789,119.97381,119.98088,119.98769,119.99742,119.9943,119.99869,119.97262,119.97361,119.97997,119.971825,119.971825,119.97183,119.97184,119.97187,119.97239,119.97238,119.97248,119.97283,119.97277,119.97099,119.97218,119.97239,119.97382,119.97417,119.972534,119.97262,119.97404,119.9743,119.97405,119.97433,119.97341,119.97404,119.97433,119.972694,119.9756,119.97431,119.97287,119.97319,119.97346,119.97465,119.97546,119.97455,119.97832,119.972885,119.97315,119.97348,119.97663,119.98015,119.97655,119.996315,119.99526,119.98807,120.0
119.96665,119.96801,119.96801,119.970116,119.97174,119.970314,119.966965,119.9721,119.97018,119.96802,119.97232,119.971245,119.9726,119.9712,119.969765,119.97132,119.97276,119.97285,119.96867,119.973076,119.97281,119.96748,119.97317,119.97389,119.97263,119.9733,119.97435,119.97391,119.96976,119.96754,119.97371,119.97001,119.973595,119.97849,119.97375,119.96911,119.98532,119.97433,119.98532,119.97803,119.96909,119.9799,119.98712,119.99725,119.994,119.998604,119.96846,119.96979,119.97779,119.96665,119.96665,119.96666,119.96667,119.96674,119.96801,119.96805,119.96822,119.971405,119.971306,119.97053,119.96689,119.96696,119.9723,119.97264,119.968216,119.96837,119.97252,119.97277,119.97272,119.9729,119.969765,119.97287,119.973145,119.96858,119.97387,119.97333,119.967865,119.96856,119.96917,119.973206,119.97272,119.971306,119.977005,119.96767,119.968025,119.96854,119.973114,119.97812,119.975876,119.996086,119.99502,119.986946,120.0
